data,kcal,proteine_g,grasimi_g,carbs_g,note
2026-06-06,2073,153,69,198,"Leg Day 346 kcal ars"
2026-06-07,2094,159,66,196,"Cycling 472 kcal ars; duplicat eliminat"
2026-06-08,2083,71,98,169,"Snack 904 kcal - 46g grasimi 0g proteina"
2026-06-09,2210,120,93,169,"Push Day 408 kcal ars; Snack 647 kcal"
2026-06-10,1523,68,52,118,"Fara antrenament; duplicat eliminat"
2026-06-11,786,22,24,130,"Cel mai slab aport proteic; posibil log incomplet"
2026-06-12,1124,48,61,92,"Mic dejun la 4:25 PM - program inversat"
2026-06-13,1712,69,74,192,"Revenire la aport decent"
2026-06-14,335,,,,"Doar micul dejun logat - date incomplete"
2026-06-15,1807,159.6,62.6,149.7,"La coasa Walk 533 kcal ars"
2026-06-16,1848,192.6,58.1,138.2,"Pull Day 448 kcal ars"
2026-06-17,1825,158.3,61.9,162.4,""
2026-06-18,1750,151.8,32.7,253.1,"Mic dejun la 4:45 AM - program inversat"
2026-06-19,1827,127.7,48.5,223.9,"Pranz 933 kcal"
2026-06-20,1888,171.4,31.5,270.9,"Workout 20 Iun 399 kcal ars"
2026-06-21,1706,173.7,44.6,140.3,""
2026-06-22,2170,160.3,61.1,264.3,"Pranz 1207 kcal"
2026-06-23,2064,178.9,57.6,212.6,"Push Day 368 kcal ars"
2026-06-24,2006,138.2,75.0,231.4,"Mic dejun la 5:05 AM - program inversat"
2026-06-25,2313,225.7,43.1,264.1,"Leg/Pull Day 457 kcal ars; record proteina"
2026-06-26,1696,147.3,33.2,215.6,""
2026-06-27,1850,191.1,62.2,150.5,"Leg Day 327 kcal ars"
2026-06-28,2317,161.6,109.3,173.5,"Cycling 614 kcal ars; grasimi ridicate 109g"
2026-06-29,2111,135.7,66.1,278.3,"Carbs ridicate 278g"
2026-06-30,1658,45.7,116.2,134.9,"Proteina 46g - cel mai slab; grasimi 116g (99g din pranz)"
2026-07-01,1714,142.2,57.6,174.5,""
2026-07-02,1693,103.4,43.5,238.2,""
2026-07-03,1451,125.9,47.2,124.4,"Cel mai mic aport din saptamana"
2026-07-04,1511,101.9,57.8,151.2,""
2026-07-05,2059,136.1,90.0,112.3,"Grasimi ridicate 90g"
2026-07-06,1773,97.2,56.0,199.3,""
2026-07-07,1728,162.3,34.3,212.9,"Proteina record"
2026-07-08,1766,141.7,36.0,194.9,""
2026-07-09,1842,129.5,45.4,177.7,""
2026-07-10,2137,90.0,117.9,139.2,"Grasimi foarte ridicate 118g"
2026-07-11,1514,100.1,74.4,102.4,""
2026-07-12,1650,65.2,82.2,184.8,"Proteina scazuta; grasimi ridicate 82g"
2026-07-13,397,22.0,10.3,71.7,"Doar micul dejun logat - date incomplete"
2026-07-14,298,31.0,17.0,3.8,"Doar micul dejun logat - date incomplete"
2026-07-15,891,21.8,19.0,31.9,"Log incomplet - proteina foarte slaba"
2026-07-16,1352,100.0,34.7,180.5,""
2026-07-17,692,50.1,33.6,53.7,"Log incomplet"
2026-07-18,1688,119.4,67.4,114.2,""
2026-07-19,1969,140.2,88.5,146.2,"Cycling 512 kcal ars; grasimi ridicate 88g"
2026-07-20,1164,103.4,20.3,163.1,"Aport caloric scazut"
2026-07-21,1582,117.8,47.2,189.3,""
2026-07-22,1594,130.4,23.5,247.3,"Carbs ridicate 247g"
2026-07-23,1571,117.3,66.7,153.4,"Ride 262 kcal ars"
2026-07-24,1728,75.7,71.2,109.8,"Proteina scazuta"
